nohup: ignoring input
Creating Random Inputs
Starting simulations for sample size: 1000
Simulating:   4%|▍         | 38/1000 [38:16<16:11:05, 60.57s/it]Run 39/1000: keff=1.11935 ± 0.00066 | CR=174/248 | Run Time=61.1606502532959
Simulating:   4%|▍         | 39/1000 [39:17<16:12:56, 60.75s/it]Run 40/1000: keff=1.04222 ± 0.00072 | CR=202/248 | Run Time=59.9293212890625
Simulating:   4%|▍         | 40/1000 [40:17<16:08:00, 60.50s/it]Run 41/1000: keff=0.93595 ± 0.00081 | CR=55/248 | Run Time=60.13135099411011
Simulating:   4%|▍         | 41/1000 [41:17<16:05:13, 60.39s/it]Run 42/1000: keff=1.05504 ± 0.00076 | CR=62/248 | Run Time=60.1183865070343
Simulating:   4%|▍         | 42/1000 [42:17<16:02:55, 60.31s/it]Run 43/1000: keff=0.94916 ± 0.00076 | CR=35/248 | Run Time=61.45944046974182
Simulating:   4%|▍         | 43/1000 [43:19<16:07:25, 60.65s/it]Run 44/1000: keff=0.86868 ± 0.00073 | CR=18/248 | Run Time=60.82676720619202
Simulating:   4%|▍         | 44/1000 [44:19<16:07:15, 60.71s/it]Run 45/1000: keff=1.09377 ± 0.00067 | CR=206/248 | Run Time=64.03422832489014
Simulating:   4%|▍         | 45/1000 [45:23<16:22:07, 61.70s/it]Run 46/1000: keff=0.99851 ± 0.00072 | CR=143/248 | Run Time=58.57882499694824
Simulating:   5%|▍         | 46/1000 [46:22<16:06:11, 60.77s/it]Run 47/1000: keff=1.12886 ± 0.00085 | CR=117/248 | Run Time=62.011497497558594
Simulating:   5%|▍         | 47/1000 [47:24<16:11:06, 61.14s/it]Run 48/1000: keff=1.10418 ± 0.00078 | CR=216/248 | Run Time=63.25815773010254
Simulating:   5%|▍         | 48/1000 [48:27<16:20:10, 61.78s/it]Run 49/1000: keff=1.03066 ± 0.00072 | CR=79/248 | Run Time=58.888957500457764
Simulating:   5%|▍         | 49/1000 [49:26<16:05:25, 60.91s/it]Run 50/1000: keff=1.04191 ± 0.00076 | CR=121/248 | Run Time=62.49781847000122
Simulating:   5%|▌         | 50/1000 [50:29<16:11:57, 61.39s/it]Run 51/1000: keff=1.01354 ± 0.00074 | CR=242/248 | Run Time=62.69117093086243
Simulating:   5%|▌         | 51/1000 [51:31<16:17:07, 61.78s/it]Run 52/1000: keff=1.07301 ± 0.00076 | CR=120/248 | Run Time=59.51254081726074
Simulating:   5%|▌         | 52/1000 [52:31<16:05:21, 61.10s/it]Run 53/1000: keff=0.89171 ± 0.00070 | CR=21/248 | Run Time=63.20990300178528
Simulating:   5%|▌         | 53/1000 [53:34<16:14:20, 61.73s/it]Run 54/1000: keff=0.95885 ± 0.00073 | CR=9/248 | Run Time=62.8539662361145
Simulating:   5%|▌         | 54/1000 [54:37<16:18:37, 62.07s/it]Run 55/1000: keff=1.13513 ± 0.00080 | CR=175/248 | Run Time=61.08273935317993
Simulating:   6%|▌         | 55/1000 [55:38<16:12:55, 61.77s/it]Run 56/1000: keff=0.87794 ± 0.00074 | CR=42/248 | Run Time=63.33677530288696
Simulating:   6%|▌         | 56/1000 [56:41<16:19:16, 62.24s/it]Run 57/1000: keff=1.05559 ± 0.00077 | CR=246/248 | Run Time=60.17626953125
Simulating:   6%|▌         | 57/1000 [57:42<16:08:30, 61.62s/it]Run 58/1000: keff=1.12199 ± 0.00071 | CR=128/248 | Run Time=63.3993034362793
Simulating:   6%|▌         | 58/1000 [58:45<16:15:50, 62.16s/it]Run 59/1000: keff=1.15635 ± 0.00076 | CR=179/248 | Run Time=63.843682289123535
Simulating:   6%|▌         | 59/1000 [59:49<16:22:45, 62.66s/it]Run 60/1000: keff=1.01115 ± 0.00077 | CR=159/248 | Run Time=57.80178236961365
Simulating:   6%|▌         | 60/1000 [1:00:47<15:58:52, 61.20s/it]Run 61/1000: keff=1.06498 ± 0.00074 | CR=186/248 | Run Time=63.85365653038025
Simulating:   6%|▌         | 61/1000 [1:01:50<16:10:17, 62.00s/it]Run 62/1000: keff=1.11970 ± 0.00072 | CR=220/248 | Run Time=63.44524812698364
Simulating:   6%|▌         | 62/1000 [1:02:54<16:16:02, 62.43s/it]Run 63/1000: keff=1.01018 ± 0.00082 | CR=105/248 | Run Time=60.71606922149658
Simulating:   6%|▋         | 63/1000 [1:03:55<16:06:57, 61.92s/it]Run 64/1000: keff=1.07585 ± 0.00072 | CR=213/248 | Run Time=60.19121432304382
Simulating:   6%|▋         | 64/1000 [1:04:55<15:57:50, 61.40s/it]Run 65/1000: keff=1.04363 ± 0.00078 | CR=146/248 | Run Time=62.38099718093872
Simulating:   6%|▋         | 65/1000 [1:05:57<16:01:24, 61.69s/it]Run 66/1000: keff=0.90514 ± 0.00073 | CR=40/248 | Run Time=59.27446913719177
Simulating:   7%|▋         | 66/1000 [1:06:56<15:49:04, 60.97s/it]Run 67/1000: keff=1.06210 ± 0.00082 | CR=204/248 | Run Time=63.362340211868286
Simulating:   7%|▋         | 67/1000 [1:08:00<15:59:13, 61.69s/it]Run 68/1000: keff=0.99132 ± 0.00069 | CR=188/248 | Run Time=58.25324821472168
Simulating:   7%|▋         | 68/1000 [1:08:58<15:42:12, 60.66s/it]Run 69/1000: keff=0.95831 ± 0.00068 | CR=73/248 | Run Time=60.46182823181152
Simulating:   7%|▋         | 69/1000 [1:09:59<15:40:17, 60.60s/it]Run 70/1000: keff=1.02853 ± 0.00073 | CR=135/248 | Run Time=63.22384023666382
Simulating:   7%|▋         | 70/1000 [1:11:02<15:51:29, 61.39s/it]Run 71/1000: keff=1.12975 ± 0.00079 | CR=102/248 | Run Time=61.30145883560181
Simulating:   7%|▋         | 71/1000 [1:12:03<15:50:04, 61.36s/it]Run 72/1000: keff=0.99767 ± 0.00083 | CR=23/248 | Run Time=60.57570815086365
Simulating:   7%|▋         | 72/1000 [1:13:04<15:45:24, 61.13s/it]Run 73/1000: keff=1.02890 ± 0.00072 | CR=182/248 | Run Time=58.6027147769928
Simulating:   7%|▋         | 73/1000 [1:14:02<15:32:41, 60.37s/it]Run 74/1000: keff=1.14406 ± 0.00069 | CR=153/248 | Run Time=59.99109721183777
Simulating:   7%|▋         | 74/1000 [1:15:02<15:29:56, 60.26s/it]Run 75/1000: keff=0.98792 ± 0.00077 | CR=132/248 | Run Time=60.659390926361084
Simulating:   8%|▊         | 75/1000 [1:16:03<15:30:48, 60.38s/it]Run 76/1000: keff=1.09198 ± 0.00071 | CR=104/248 | Run Time=60.482205629348755
Simulating:   8%|▊         | 76/1000 [1:17:03<15:30:17, 60.41s/it]Run 77/1000: keff=0.96170 ± 0.00070 | CR=67/248 | Run Time=58.403971672058105
Simulating:   8%|▊         | 77/1000 [1:18:02<15:20:02, 59.81s/it]Run 78/1000: keff=1.15303 ± 0.00071 | CR=111/248 | Run Time=59.291996717453
Simulating:   8%|▊         | 78/1000 [1:19:01<15:16:40, 59.65s/it]Run 79/1000: keff=1.14349 ± 0.00072 | CR=117/248 | Run Time=59.480957984924316
Simulating:   8%|▊         | 79/1000 [1:20:01<15:14:52, 59.60s/it]Run 80/1000: keff=1.04222 ± 0.00073 | CR=170/248 | Run Time=60.64821648597717
Simulating:   8%|▊         | 80/1000 [1:21:01<15:18:42, 59.92s/it]Run 81/1000: keff=0.93517 ± 0.00076 | CR=41/248 | Run Time=59.03999924659729
Simulating:   8%|▊         | 81/1000 [1:22:00<15:13:41, 59.65s/it]Run 82/1000: keff=1.13964 ± 0.00074 | CR=183/248 | Run Time=64.81164622306824
Simulating:   8%|▊         | 82/1000 [1:23:05<15:36:22, 61.20s/it]Run 83/1000: keff=0.90599 ± 0.00078 | CR=36/248 | Run Time=60.54052519798279
Simulating:   8%|▊         | 83/1000 [1:24:06<15:32:19, 61.00s/it]Run 84/1000: keff=0.92893 ± 0.00077 | CR=13/248 | Run Time=60.3779661655426
Simulating:   8%|▊         | 84/1000 [1:25:06<15:28:27, 60.82s/it]Run 85/1000: keff=1.16599 ± 0.00077 | CR=214/248 | Run Time=63.81559157371521
Simulating:   8%|▊         | 85/1000 [1:26:10<15:41:09, 61.72s/it]Run 86/1000: keff=1.08070 ± 0.00081 | CR=189/248 | Run Time=59.61259865760803
Simulating:   9%|▊         | 86/1000 [1:27:09<15:30:31, 61.08s/it]Run 87/1000: keff=1.17161 ± 0.00074 | CR=191/248 | Run Time=61.07178544998169
Simulating:   9%|▊         | 87/1000 [1:28:10<15:29:27, 61.08s/it]Run 88/1000: keff=1.07900 ± 0.00074 | CR=127/248 | Run Time=59.322394132614136
Simulating:   9%|▉         | 88/1000 [1:29:10<15:20:24, 60.55s/it]Run 89/1000: keff=1.10595 ± 0.00072 | CR=224/248 | Run Time=59.587515354156494
Simulating:   9%|▉         | 89/1000 [1:30:09<15:15:00, 60.26s/it]Run 90/1000: keff=0.96726 ± 0.00075 | CR=113/248 | Run Time=61.11810517311096
Simulating:   9%|▉         | 90/1000 [1:31:11<15:17:53, 60.52s/it]Run 91/1000: keff=1.07957 ± 0.00077 | CR=119/248 | Run Time=61.4351909160614
Simulating:   9%|▉         | 91/1000 [1:32:12<15:21:02, 60.79s/it]Run 92/1000: keff=1.00148 ± 0.00073 | CR=167/248 | Run Time=58.13372087478638
